userId,firstName,lastName,email,mobile,password,country
1098,ramanan,ragav,ramanan4@gmail.com,93214567t8,ramanan,India
1001,vivek,nimbalkar,vivek@gmail.com,8899898989,vivek,France
1099,Ragavendhra,Ramanan M R,ramananrohit4@gmail.com,9566797727,ram123,India
1100,shethu ,ram,shethuram123@gmail.com,9876543245,shethu,India
1101,raja,ram,raja@gmail.com,9876567898,raja,India
1102,krish,kumar,krish@gmail.com,9876789876,krish,India
1103,priya,kumari,priya@gmail.com,9876543567,priya,India
1104,vasanth,kumar,vasanth@gmail.com,drftyguh,vasanth,India
1105,ragavan,ram,ragavan@gmail.com,8765678765,ragavan,India
1106,kiran,sruya,kiran@gmail.com,9876541567,Kiran,India
1107,prem,kumar,prem@gmail.com,8798767656,prem,India
1108,harsha,kumar,harsha@gmail.com,9876561898,harsha,India
